UF,Total (1 000 pessoas),Total (1 000 pessoas) CV (%),Branca  (Total),Branca CV (%),Preta Total,Preta CV (%),Parda (Total),Parda CV (%),Amarela ou indígena (Total),Amarela ou indígena CV (%),Ano:
Pará,8381,4740000001075,-,18,159626243372141,3,2843125882507178,8,4611836787163135,6,5858714763347574,72,1559775813557,1,0517668283511441,1,22321249655521,19,699031500211632,2017
Amapá,805,34399999999107,-,19,327529418826355,6,5117330553222104,7,9684025397220868,10,080695270996321,72,287310645291612,2,0784567637189575,0,41675739615997365,50,128857329572071,2017
Tocantins,1524,4030000000275,-,23,692787076333875,4,6952885354169975,10,460806878955832,5,926234919468599,64,845967753530189,1,8718627655398268,1,0004382911802612,20,258438390612454,2017
Maranhão,6960,0700000001216,-,18,491908630203454,2,5707960465537352,10,858464808602422,3,4284934436283496,69,985163208738157,0,75733791756958979,0,66446335245515808,11,029842925410275,2017
Piauí,3254,6259999999638,-,20,442653246801477,4,745246802029925,8,6806113221519396,6,0731225220214142,70,734426257473828,1,4012597976338936,0,14230917357391551,41,118290322099114,2017
Ceará,9015,3540000001121,-,27,536418473570404,2,1528979030203956,4,2907167402741369,5,5470796677715022,67,584803622848639,0,91037831688285453,0,58806116330608993,20,047207685649845,2017
Rio Grande do Norte,3450,6690000000344,-,36,692043536692424,2,6386720745702785,5,9533714406191462,7,8996227177868361,57,20029070414563,1,6297833158357249,0,1393583378942837,33,001431948084189,2017
Paraíba,3953,4480000000954,-,33,770151987755206,3,0092536572354995,5,1245002517698923,7,1349053451037481,60,944307539063928,1,6449542292019737,0,16104022141121255,30,948377954501321,2017
Pernambuco,9377,5519999999742,-,30,729350025856483,2,9579609449150137,6,4139661239853343,6,339453096505113,62,089982704623928,1,4848102354940331,0,74878234524799347,15,199993297788739,2017
Alagoas,3300,7359999999526,-,23,37431423033874,2,8201337109015148,5,246742772284982,6,0071082374158031,70,812789444668638,1,0435718698956327,0,56615355270965551,16,192959549211054,2017
